front,back
i' faut,it is necessary to
èrgarder,to look
eune brecque,a gap
d'vant,before
sauter,to jump
à chein qu'nou dit,as they say
souler,used to
fliantchi,fling
condamner,to condemn
la mort,death
janne,young
coupabl'ye,guilty
înmaginner,to imagine
lé v'la,there he is
un prisonnyi,a prisonner
entre,between
un garde,a guard
lé haut,the top
un rotchi,a rock
eune falaise,a cliff
ioù,where
à l'entou,all around
un fliotchet,a crowd
v'nu,come
vaie,to see
eune exetchution,an execution
d'mander,to ask
tremblier,to tremble
plieuther,to cry
semblier,to seem
couothageux,courageous
la peux,fear
donner,to give
eune c'mande,a command
pousser,to push
sus,on
tchaie,to fall
faithe droque bête,to plummet
parmi,among
lé bas,the bottom
un corps,a body
êmaglyi,to crush
nou-fait,"no indeed, surely not"
acouo,"still, yet"
en vie,alive
nagi,to swim
grîmper,to climb
èrmonter,to go up again
amont,up
jusqu'à,until
èrarriver,to arrive again
veu,seen
libéther,to liberate
l'èrv'là,there he is again
un jugement,a judgement
lé Bouôn Dgieu,the Good Lord
un aut',another
ag'ver,to fulfil
un ardgument,an argument
adrèchi,to address
aîsiment,easily
settler,to settle
dèrché,again
èrv'nin,to come back
ayant,having
chennechîn,this
avanchi,to advance
eune fais,a time
drait,straight
pouortchi,why
